"ef_regulation","ef_trade","ef_money","ef_legal","ef_government","pf_identity","pf_expression","pf_association","pf_religion","pf_movement","pf_ss","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries"
6.290954337,5.826842798,6.593266,3.463300254,7.836437068,3.75,7.087699939,9,4.039259259,5,6.242516773,3.50506934,8.236641894,0,8.833699383,2.5,8.08146999,8.039372749
6.902737679,8.696830031,9.696805181,5.241776593,7.363229284,9.25,8.300639622,8.5,8.361111111,10,8.710721255,4.385538748,6.132163766,10,10,10,10,10
7.270130724,7.195671082,6.358245063,4.115072446,6.297012147,7.5,8.604166667,7.88472029275618,8.086666667,10,7.9539205,3.970458096,6.861761499,10,10,7.5,10,10
6.144909202,7.28151234,9.28268472,3.840887889,8.184618864,7.5,8.380952381,7.5,8.174074074,8.333333333,7.834983075,4.108065759,6.282639308,10,10,5,9.504359751,9.94052317
7.488683492,8.226085566,9.704537846,4.765645671,6.97963564,9.375,8.205155728,9,8.225555556,10,8.245018486,4.715843781,6.933614189,10,10,7.5,9.884601081,9.955938595
7.369833084,7.127270701,9.422637738,4.27826495,8.498841962,6.25,8.204248444,8,8.490740741,8.333333333,6.842192772,3.436584998,5.592068705,5,8.225581307,2.5,8.674025304,8.606274772
7.586252704,7.913406255,9.647930249,5.559009928,5.624382422,9.25,8.619047619,9,6.345925926,10,9.743629357,6.382863045,9.731941532,10,10,7.5,10,9.994732696
7.184642765,8.376487219,9.350852752,6.979123572,5.659946793,9.25,9.55952381,9.5,9.425555556,10,9.915208954,7.165608272,9.745626863,10,10,10,10,10
8.336798605,7.648646029,8.679786673,6.235291357,6.537882662,0,6.964285714,2.5,4.690740741,3.333333333,8.560572432,6.54629556,9.848383963,10,10,10,10,10
7.77671259,8.441503074,9.34147173,6.040355698,6.833639275,9.25,9,10,7.877407407,10,9.833493166,6.328473866,9.500479499,10,10,10,10,10
6.534637242,6.838571472,9.103570417,4.962398878,6.712471159,9.25,6.146872462,5,4.596296296,3.333333333,7.531731593,3.995194231,5.673527042,0,9.840656656,5,9.852203276,9.915478748
8.163310486,7.015027267,9.345718853,7.164967817,5.716995447,9.166666667,6.261904762,2,6.04037037,6.666666667,8.534642873,5.282069945,8.992222659,10,6.391863131,5,10,10
7.139502889,5.900602321,9.020731753,5.186017585,5.35,0,5.782049842,2,3.214814815,0,7.442087098,5.914095317,9.401720257,10,10,2.5,8.337241693,8.785463498
6.152968394,6.665037837,7.198889674,4.252700728,6.830535435,2.5,8.25,10,9.022222222,6.666666667,7.83881086,4.682384661,7.049765915,10,10,5,10,10
7.154502067,7.601756185,8.1473235,4.945954676,6.40835403,9.25,8.535714286,8,8.27037037,10,9.369652604,4.399686544,9.442291144,10,10,7.5,10,10
7.389053037,7.759700046,9.001838115,5.670494453,6.32684697,10,7.666666667,10,8.138888889,7.5,7.452624116,5.384695448,4.905248231,10,10,10,10,10
4.719437962,6.057269406,6.943524415,3.993543765,7.017647059,8.333333333,7.25,2.5,8.453333333,8.333333333,8.068540618,3.925095991,9.314635503,10,10,7.5,9.954931751,10
8.980598133,9.291176661,9.761728956,8.22709857,7.919425783,8,6.133315738,3.5,6.114814815,8.333333333,9.401703386,7.683405599,9.871776826,10,10,10,10,10
